Discrepancy in contain: arg=90068, expected=false, actual=true, timestamp=36648660999981
Discrepancy in contain: arg=26333, expected=true, actual=false, timestamp=36648740999627
Discrepancy found in remove: arg=20338, expected=false, actual=true, timestamp=36648858807729
Discrepancy in contain: arg=97477, expected=false, actual=true, timestamp=36648865270979
Discrepancy in contain: arg=97477, expected=false, actual=true, timestamp=36648872999352
Discrepancy in contain: arg=20338, expected=true, actual=false, timestamp=36648873940519
Discrepancy in contain: arg=20338, expected=true, actual=false, timestamp=36648889793368
Discrepancy in contain: arg=20338, expected=true, actual=false, timestamp=36648904085489
Discrepancy found in remove: arg=20338, expected=true, actual=false, timestamp=36648911607822
Measurement time: 602513744
Measurement discrepancy: 12
Discrepancy in contain: arg=82570, expected=true, actual=false, timestamp=36649669233527
Discrepancy in contain: arg=97232, expected=true, actual=false, timestamp=36649705999860
Discrepancy in contain: arg=27085, expected=false, actual=true, timestamp=36649713099395
Discrepancy in contain: arg=15297, expected=true, actual=false, timestamp=36649731786062
Discrepancy found in remove: arg=15297, expected=true, actual=false, timestamp=36649734763410
Discrepancy found in remove: arg=15297, expected=false, actual=true, timestamp=36649742010492
Discrepancy in contain: arg=24204, expected=false, actual=true, timestamp=36649756693086
Discrepancy found in add: arg=31566, expected=true, actual=false, timestamp=36649819861119
Discrepancy found in add: arg=31566, expected=false, actual=true, timestamp=36649819861175
Discrepancy in contain: arg=49995, expected=true, actual=false, timestamp=36649914108653
Discrepancy in contain: arg=9527, expected=false, actual=true, timestamp=36649999939435
Measurement time: 715327739
Measurement discrepancy: 11
Discrepancy in contain: arg=49314, expected=true, actual=false, timestamp=36650748009520
Discrepancy found in remove: arg=8686, expected=false, actual=true, timestamp=36650921732165
Discrepancy in contain: arg=8686, expected=true, actual=false, timestamp=36650933556247
Discrepancy found in add: arg=8686, expected=false, actual=true, timestamp=36650947792974
Discrepancy in contain: arg=69041, expected=true, actual=false, timestamp=36650987269716
Discrepancy in contain: arg=69041, expected=true, actual=false, timestamp=36650988161043
Discrepancy in contain: arg=9580, expected=true, actual=false, timestamp=36651027032179
Discrepancy in contain: arg=38844, expected=false, actual=true, timestamp=36651125089244
Discrepancy found in add: arg=44892, expected=false, actual=true, timestamp=36651185013237
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651247037035
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651292993099
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651293830948
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651295656135
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651358400697
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651361719894
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651379556325
Discrepancy in contain: arg=44892, expected=false, actual=true, timestamp=36651386902676
Discrepancy found in remove: arg=44892, expected=false, actual=true, timestamp=36651387216144
Measurement time: 817793063
Measurement discrepancy: 18
Discrepancy in contain: arg=68046, expected=true, actual=false, timestamp=36652052999844
Discrepancy in contain: arg=81121, expected=true, actual=false, timestamp=36652153999630
Discrepancy in contain: arg=83747, expected=true, actual=false, timestamp=36652331941867
Discrepancy found in remove: arg=28497, expected=true, actual=false, timestamp=36652378009982
Discrepancy in contain: arg=39303, expected=true, actual=false, timestamp=36652381577556
Discrepancy in contain: arg=28497, expected=false, actual=true, timestamp=36652382971496
Discrepancy in contain: arg=34802, expected=false, actual=true, timestamp=36652385060536
Discrepancy in contain: arg=28497, expected=false, actual=true, timestamp=36652397086946
Discrepancy in contain: arg=28497, expected=false, actual=true, timestamp=36652399134485
Discrepancy in contain: arg=28497, expected=false, actual=true, timestamp=36652409833850
Discrepancy in contain: arg=28497, expected=false, actual=true, timestamp=36652439059304
Discrepancy in contain: arg=28497, expected=false, actual=true, timestamp=36652440082937
Discrepancy in contain: arg=28497, expected=false, actual=true, timestamp=36652442760524
Discrepancy found in remove: arg=28497, expected=false, actual=true, timestamp=36652457885083
Discrepancy in contain: arg=97198, expected=true, actual=false, timestamp=36652477999944
Discrepancy in contain: arg=49177, expected=false, actual=true, timestamp=36652480905524
Measurement time: 735074043
Measurement discrepancy: 16
Discrepancy in contain: arg=64513, expected=true, actual=false, timestamp=36653509834872
Discrepancy in contain: arg=53396, expected=false, actual=true, timestamp=36653580704455
Discrepancy in contain: arg=83045, expected=true, actual=false, timestamp=36653594915271
Discrepancy in contain: arg=83045, expected=true, actual=false, timestamp=36653595886893
Discrepancy in contain: arg=4829, expected=false, actual=true, timestamp=36653814505378
Measurement time: 835857788
Measurement discrepancy: 5
Discrepancy in contain: arg=14802, expected=false, actual=true, timestamp=36654544467491
Discrepancy in contain: arg=12932, expected=false, actual=true, timestamp=36654573359195
Discrepancy in contain: arg=59554, expected=false, actual=true, timestamp=36654614955110
Discrepancy in contain: arg=3630, expected=true, actual=false, timestamp=36654662999633
Discrepancy found in remove: arg=35548, expected=false, actual=true, timestamp=36654863097140
Discrepancy in contain: arg=35548, expected=true, actual=false, timestamp=36654866747667
Discrepancy found in remove: arg=35548, expected=true, actual=false, timestamp=36654894098903
Measurement time: 738281433
Measurement discrepancy: 7
Discrepancy in contain: arg=39647, expected=false, actual=true, timestamp=36655862333312
Discrepancy in contain: arg=87729, expected=false, actual=true, timestamp=36655882999985
Discrepancy in contain: arg=44693, expected=false, actual=true, timestamp=36655925999835
Discrepancy found in add: arg=6321, expected=true, actual=false, timestamp=36655978999944
Discrepancy found in add: arg=6321, expected=false, actual=true, timestamp=36655979958684
Discrepancy in contain: arg=98268, expected=true, actual=false, timestamp=36656039011435
Discrepancy in contain: arg=18599, expected=false, actual=true, timestamp=36656051044239
Discrepancy found in remove: arg=21954, expected=true, actual=false, timestamp=36656099012698
Discrepancy found in add: arg=227, expected=true, actual=false, timestamp=36656106989647
Discrepancy found in add: arg=227, expected=false, actual=true, timestamp=36656109014369
Discrepancy in contain: arg=21954, expected=false, actual=true, timestamp=36656136910660
Discrepancy in contain: arg=21954, expected=false, actual=true, timestamp=36656145174019
